ANIO|AVALOR|ALCALDIA|VALOR|ADD
2026|A030036|03|9661.57|A
2026|A030044|03|6816.20|A
2026|A030053|03|4701.51|A
2026|A030064|03|5251.08|A
2026|A030075|03|4970.90|A
2026|A030086|03|9129.53|A
2026|A030095|03|6192.60|A
2026|A030105|03|12917.32|A
2026|A030116|03|9320.31|A
2026|A030125|03|9743.32|A
2026|A030136|03|11175.44|A
2026|A030145|03|5431.68|A
2026|A030154|03|4096.87|A
2026|A030165|03|8993.16|A
2026|A030176|03|9289.74|A
2026|A030183|03|3462.21|A
2026|A030195|03|5405.15|A
2026|A030204|03|6978.17|A
2026|A030214|03|3582.01|A
2026|A030225|03|6410.44|A
2026|A030234|03|3791.44|A
2026|A030246|03|11671.20|A
2026|A030253|03|2947.74|A
2026|A030265|03|7369.59|A
2026|A030274|03|3800.09|A
2026|A030284|03|3874.84|A
2026|A030295|03|9404.60|A
2026|A030305|03|7599.34|A
2026|A030314|03|4509.28|A
2026|A030323|03|4753.12|A
2026|A030335|03|6359.37|A
2026|A030346|03|9634.47|A
2026|A030353|03|3375.39|A
2026|A030367|03|7548.41|A
2026|A030374|03|5352.15|A
2026|A040013|04|1634.17|A
2026|A040023|04|1797.57|A
2026|A040033|04|5984.16|A
2026|A040045|04|7497.68|A
2026|A040055|04|6210.50|A
2026|A040066|04|7131.28|A
2026|A040072|04|2915.12|A
2026|A040084|04|3499.68|A
2026|A040094|04|3247.54|A
2026|A040103|04|3534.19|A
2026|A040116|04|6574.77|A
2026|A040125|04|7839.56|A
2026|A040135|04|4332.57|A
2026|A040147|04|7160.06|A
2026|A040153|04|3961.30|A
2026|A040167|04|4721.91|A
2026|A040173|04|8103.14|A
2026|A040184|04|3911.45|A
2026|A040194|04|3698.63|A
2026|A040202|04|4099.59|A
2026|A040213|04|3202.89|A
2026|A040225|04|6819.38|A
2026|A040237|04|6250.25|A
2026|A040243|04|5696.19|A
2026|A040253|04|9492.63|A
2026|A040263|04|8934.72|A
2026|A040273|04|4130.84|A
2026|A040283|04|7164.31|A
2026|A040293|04|4186.25|A
2026|A040307|04|6170.10|A
2026|A040313|04|3251.33|A
2026|A040324|04|5393.90|A
2026|A040334|04|5455.98|A
2026|A040343|04|2983.22|A
2026|A040353|04|3165.94|A
2026|A040363|04|3134.98|A
2026|A040372|04|3338.89|A
2026|A040384|04|4998.42|A
2026|A040393|04|6509.41|A
2026|A040404|04|5476.21|A
2026|A040413|04|3566.87|A
2026|A040422|04|1868.59|A
2026|A040435|04|7883.88|A
2026|A040444|04|5076.70|A
2026|A040453|04|3661.49|A
2026|A040464|04|6402.78|A
2026|A040474|04|4560.76|A
2026|A040485|04|6913.32|A
2026|A040495|04|6513.57|A
2026|A040503|04|1634.17|A
2026|A040514|04|4942.40|A
2026|A040524|04|3761.41|A
2026|A040533|04|3969.39|A
2026|A040543|04|4348.31|A
2026|A040554|04|4838.40|A
2026|A040565|04|6371.83|A
2026|A040573|04|2683.78|A
2026|A040583|04|4333.31|A
2026|A040595|04|7498.81|A
2026|A040604|04|7392.50|A
2026|A040613|04|5413.91|A
2026|A040624|04|5345.71|A
2026|A040633|04|4200.74|A
2026|A040642|04|4714.65|A
2026|A040653|04|5376.78|A
2026|A040662|04|2321.38|A
2026|A040673|04|5336.69|A
2026|A040683|04|2076.69|A
2026|A040694|04|3481.98|A
2026|A040704|04|3882.22|A
2026|A040713|04|3448.12|A
2026|A040727|04|6021.99|A
2026|A040733|04|1797.57|A
2026|A040742|04|1797.57|A
2026|A040752|04|1868.59|A
2026|A040762|04|1868.59|A
2026|A050012|05|2734.22|A
2026|A050022|05|2029.55|A
2026|A050032|05|1780.06|A
2026|A050042|05|3197.35|A
2026|A050053|05|3430.12|A
2026|A050065|05|6976.80|A
2026|A050072|05|3381.31|A
2026|A050082|05|2485.85|A
2026|A050091|05|4104.85|A
2026|A050100|05|990.16|A
2026|A050112|05|2522.39|A
2026|A050122|05|2023.33|A
2026|A050133|05|3046.26|A
2026|A050142|05|3947.08|A
2026|A050152|05|2230.72|A
2026|A050162|05|2621.51|A
2026|A050172|05|2927.92|A
2026|A050180|05|2062.72|A
2026|A050190|05|1375.61|A
2026|A050201|05|2696.23|A
2026|A050212|05|1674.38|A
2026|A050222|05|1863.67|A
2026|A050234|05|5032.51|A
2026|A050242|05|3885.54|A
2026|A050253|05|3381.77|A
2026|A050263|05|2776.50|A
2026|A050272|05|3419.11|A
2026|A050280|05|1881.97|A
2026|A050290|05|1242.84|A
2026|A050302|05|1626.95|A
2026|A050312|05|2224.14|A
2026|A050320|05|1275.27|A
2026|A050336|05|10200.93|A
2026|A050342|05|1463.18|A
2026|A050359|05|245.83|A
2026|A050406|05|11664.66|A
2026|A050437|05|1240.69|A
2026|A050449|05|1426.83|A
2026|A050457|05|1757.70|A
2026|A050467|05|1662.59|A
2026|A050477|05|3456.08|A
2026|A050486|05|11413.25|A
2026|A050499|05|1304.04|A
2026|A050501|05|1307.01|A
2026|A050519|05|245.83|A
2026|A050522|05|2578.03|A
2026|A050539|05|11039.64|A
2026|A060014|06|5370.46|A
2026|A060024|06|4739.26|A
2026|A060038|06|4903.45|A
2026|A060047|06|6642.29|A
2026|A060055|06|6496.19|A
2026|A060067|06|10332.97|A
2026|A060075|06|8424.85|A
2026|A060084|06|5634.84|A
2026|A060096|06|12216.78|A
2026|A060104|06|5860.43|A
2026|A060114|06|4760.88|A
